Title,FirstName,MiddleName,LastName,Suffix,CompanyName,SalesPerson,EmailAddress,Phone,AddressLine1,AddressLine2,City,StateProvince,CountryRegion,PostalCode,AddressType,RevisionNumber,OrderDate,DueDate,ShipDate,Status,OnlineOrderFlag,SalesOrderNumber,PurchaseOrderNumber,AccountNumber,ShipMethod,CreditCardApprovalCode,SubTotal,TaxAmt,Freight,TotalDue,Comment,OrderQty,ProductID,UnitPrice,UnitPriceDiscount,LineTotal
Mr.,David,,Hodgson,,Good Toys,adventure-works\linda3,david16@adventure-works.com,969-555-0117,99700 Bell Road,,Auburn,California,United States,9/30/1961 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71774,PO348186287,10-4020-000609,CARGO TRANSPORT 5,,880.3484,70.4279,22.0087,972.785,,1,822,356.898,0,356.898
Mr.,David,,Hodgson,,Good Toys,adventure-works\linda3,david16@adventure-works.com,969-555-0117,99700 Bell Road,,Auburn,California,United States,9/30/1961 0:00,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71774,PO348186287,10-4020-000609,CARGO TRANSPORT 5,,880.3484,70.4279,22.0087,972.785,,1,836,356.898,0,356.898
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,4,905,218.454,0,873.816
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,748,818.7,0,1637.4
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,990,323.994,0,323.994
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,926,149.874,0,149.874
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,1,743,809.76,0,809.76
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,4,782,1376.994,0,5507.976
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,2,918,158.43,0,316.86
Mr.,Raja,D.,Venugopal,,Nearby Cycle Shop,adventure-works\jae0,raja0@adventure-works.com,1 (11) 500 555-0195,Burgess Hill,Edward Way,West Sussex,England,United Kingdom,RH15 9UD,Main Office,2,00:00.0,00:00.0,00:00.0,5,0,SO71780,PO19604173239,10-4020-000340,CARGO TRANSPORT 5,,38418.6895,3073.4952,960.4672,42452.6519,,4,780,1391.994,0,5567.976
